,Week,WeekRange,Joy,Analytical,Sadness,Confident,Tentative,Fear,Anger
0,11,Mar09 - Mar15,0.0,60.0,20.0,20.0,0.0,0.0,20.0
1,12,Mar16 - Mar22,0.0,30.0,20.0,0.0,0.0,0.0,10.0
2,13,Mar23 - Mar29,7.142857142857142,57.14285714285714,21.428571428571427,0.0,10.714285714285714,0.0,0.0
3,14,Mar30 - Apr05,10.416666666666668,58.333333333333336,12.5,10.416666666666668,6.25,2.083333333333333,0.0
4,15,Apr06 - Apr12,10.734463276836157,55.367231638418076,16.94915254237288,8.47457627118644,5.084745762711865,2.2598870056497176,1.1299435028248588
5,16,Apr13 - Apr19,12.56931608133087,31.42329020332717,11.645101663585953,4.066543438077634,16.081330868761555,0.5545286506469501,1.478743068391867
6,17,Apr20 - Apr26,11.11111111111111,24.074074074074073,9.25925925925926,0.9259259259259258,5.555555555555555,0.9259259259259258,0.9259259259259258
7,18,Apr27 - May03,14.935064935064934,26.2987012987013,11.363636363636363,2.922077922077922,7.467532467532467,0.974025974025974,1.2987012987012987
8,19,May04 - May10,13.518052057094879,29.303106633081445,16.036943744752307,7.136859781696053,6.129303106633081,2.434928631402183,1.7632241813602016
9,20,May11 - May17,17.983651226158038,30.79019073569482,15.258855585831062,5.313351498637602,7.901907356948229,2.316076294277929,0.9536784741144414
10,21,May18 - May24,12.740604949587533,31.53070577451879,15.765352887259395,6.691109074243813,6.966086159486709,2.383134738771769,1.6498625114573784
11,22,May25 - May31,16.484517304189435,26.68488160291439,17.03096539162113,5.46448087431694,6.557377049180328,1.2750455373406193,1.8214936247723135
12,23,Jun01 - Jun07,11.928429423459244,31.610337972166995,15.009940357852884,5.467196819085487,7.5546719681908545,1.7892644135188867,2.485089463220676
13,24,Jun08 - Jun14,12.82051282051282,28.512820512820515,14.666666666666666,5.333333333333334,4.923076923076923,2.1538461538461537,2.1538461538461537
14,25,Jun15 - Jun21,15.301391035548686,27.51159196290572,15.610510046367851,5.4095826893353935,5.7187017001545595,2.627511591962906,2.1638330757341575
